TABNAME,FIELDNAME,DEFAULT,MANDATORY,PARAMETER
HR_PA0105,MANDT,100,X,
HR_PA0900,MANDT,100,X,
HR_PA20,MANDT,100,X,
HR_T001P,MANDT,100,X,
HR_T500P,MANDT,100,X,
HR_T503T,MANDT,100,X,
HR_T510A,MANDT,100,X,
HR_T510G,MANDT,100,X,
HR_T512T,MANDT,100,X,
HR_T513S,MANDT,100,X,
HR_T517T,MANDT,100,X,
HR_T517X,MANDT,100,X,
HR_T526,MANDT,100,X,
HR_T527X,MANDT,100,X,
HR_T528T,MANDT,100,X,
HR_T529T,MANDT,100,X,
HR_T529U,MANDT,100,X,
HR_T530E,MANDT,100,X,
HR_T530F,MANDT,100,X,
HR_T530T,MANDT,100,X,
HR_T533T,MANDT,100,X,
HR_T538T,MANDT,100,X,
HR_T542T,MANDT,100,X,
HR_T547S,MANDT,100,X,
HR_T548T,MANDT,100,X,
HR_T549T,MANDT,100,X,
HR_T554T,MANDT,100,X,
HR_T555Q,MANDT,100,X,
HR_T555V,MANDT,100,X,
HR_T556,MANDT,100,X,
HR_T556B,MANDT,100,X,
HR_T574B,MANDT,100,X,
HR_T591S,MANDT,100,X,
HR_T5C1B,MANDT,100,X,
HR_T5C1O,MANDT,100,X,
HR_T5C2G,MANDT,100,X,
HR_T5CA3,MANDT,100,X,
HR_T5CAQ,MANDT,100,X,
HR_T5UBA,MANDT,100,X,
HR_T5UC1,MANDT,100,X,
HR_T5UC3,MANDT,100,X,
HR_T5UC4,MANDT,100,X,
HR_T5UC9,MANDT,100,X,
HR_T5UCT,MANDT,100,X,
HR_T5UCV,MANDT,100,X,
HR0004,MANDT,100,X,
MM_0012,MANDT,100,X,
MM_0014,MANDT,100,X,
MM_0015,MANDT,100,X,
MM_0016,MANDT,100,X,
MM_0017,MANDT,100,X,
MM_BSEG_1,MANDT,100,X,
MM_CK13N_1,MANDT,100,X,
MM_CK13N2,MANDT,100,X,
MM_CKM3,MANDT,100,X,
MM_CKMPCD,MANDT,100,X,
MM_CKMTOPPRICEDIF,MANDT,100,X,
MM_CKMTOPSTOCKVAL,MANDT,100,X,
MM_EINA,MANDT,100,X,
MM_EKET,MANDT,100,X,
MM_EKKN,MANDT,100,X,
MM_J1A5,MANDT,100,X,
MM_KONV_1,MANDT,100,X,
MM_LI05,MANDT,100,X,
MM_LS26,MANDT,100,X,
MM_LT24,MANDT,100,X,
MM_LTAP,MANDT,100,X,
MM_LX18,MANDT,100,X,
MM_MB56,MANDT,100,X,
MM_MB59_ALL,MANDT,100,X,
MM_MB59_POS,MANDT,100,X,
MM_MB5S,MANDT,100,X,
MM_MB5W,MANDT,100,X,
MM_MBEW,MANDT,100,X,
MM_MBGR_1,MANDT,100,X,
MM_MBGR_2,MANDT,100,X,
MM_MC4_1,MANDT,100,X,
MM_ME0M,MANDT,100,X,
MM_ME13,MANDT,100,X,
MM_ME13_1,MANDT,100,X,
MM_ME1P,MANDT,100,X,
MM_ME23N_ALL,MANDT,100,X,
MM_ME23N2,MANDT,100,X,
MM_ME2B,MANDT,100,X,
MM_ME2C,MANDT,100,X,
MM_ME2K,MANDT,100,X,
MM_ME33K_ALL,MANDT,100,X,
MM_ME33K_POS,MANDT,100,X,
MM_ME53N_1,MANDT,100,X,
MM_ME53N_4,MANDT,100,X,
MM_MI24_1,MANDT,100,X,
MM_MIR4_ALL,MANDT,100,X,
MM_MIR4_POS,MANDT,100,X,
MM_MKVZ,MANDT,100,X,
MM_MM03_1,MANDT,100,X,
MM_MMBE,MANDT,100,X,
MM_MMBE_1,MANDT,100,X,
MM_MR51,MANDT,100,X,
MM_MVKE,MANDT,100,X,
MM_RBKP_BLOCKED,MANDT,100,X,
MM_RBTX,MANDT,100,X,
MM_RBWS,MANDT,100,X,
MM_S_AL0_96000496,MANDT,100,X,
MM_T024,MANDT,100,X,
MM_T141T,MANDT,100,X,
MM_T149T,MANDT,100,X,
MM_T161T,MANDT,100,X,
MM_T163C,MANDT,100,X,
MM_T163I,MANDT,100,X,
MM_TPTMT,MANDT,100,X,
MM_TSKMT,MANDT,100,X,
MM_UOM,MANDT,100,X,
MM0001,MANDT,100,X,
MM0002,MANDT,100,X,
MM0003,MANDT,100,X,
MM0005,MANDT,100,X,
MM0006,MANDT,100,X,
MM0009,MANDT,100,X,
MM0010,MANDT,100,X,
MM0018,MANDT,100,X,
PM_AFKO_1,MANDT,100,X,
PM_AFPO_1,MANDT,100,X,
PM_AFVC_1,MANDT,100,X,
PM_AUFK_2,MANDT,100,X,
PM_IFLOALT,MANDT,100,X,
PM_KNA1,MANDT,100,X,
PM_MARA_1,MANDT,100,X,
PM_MARA_2,MANDT,100,X,
PM_QPCT,MANDT,100,X,
PM_QPGR,MANDT,100,X,
PM_TQ80_T,MANDT,100,X,
